,CrashId,Fatal Case Status,lat,lon,DOT Case Number,Date Of Crash,Time of Crash,Crash Severity,Crash Severity Text Format,Most Severe Injury,Most Severe Injury Text Format,Number Of Motor Vehicles,Route Class Text Format,Milemarker,Road Number,Road Description,Roadway Name,Intersecting Roadway Name,Landmark Description,Distance From Nearest Landmark,Unit Of Measure From Nearest Landmark,Direction From Nearest Landmark,Weather Condition,Weather Condition Text Format,Light Condition,Light Condition Text Format,Road Surface Condition,Road Surface Condition Text Format,Average Daily Traffic,Trafficway Class Text Format,full_date
9061,376641,1,41.351292,-72.945254,2619467,1/1/18,14:31:00,O,Property Damage Only,O,No Apparent Injury (O),1,Local,0,567,WEST HELEN ST,WEST HELEN ST,REYNA RD,,,,,1,Clear,1,Daylight,5,Ice / Frost,,"Trafficway, On Road",1/1/18 14:31
4381,373387,1,41.3793972,-72.90375396,2616214,1/1/18,15:51:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.16,15,15-S,15-S-123,,Exit 61,1,TenthsofMile,N,1,Clear,1,Daylight,1,Dry,9300,"Trafficway, On Road",1/1/18 15:51
3311,395084,1,41.365511,-72.925266,2637901,1/2/18,7:06:00,A,"Injury of any type (Serious, Minor, Possible)",C,Possible Injury (C),2,State,50.03,15,15-N,15-N,,Exit 61,0.600000024,TenthsofMile,S,1,Clear,1,Daylight,1,Dry,66000,"Trafficway, On Road",1/2/18 7:06
3214,374673,1,41.379173,-72.903299,2617500,1/2/18,7:19:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,51.61,15,15-N,15-N,,Exit 61,1,TenthsofMile,S,1,Clear,1,Daylight,1,Dry,71800,"Trafficway, On Road",1/2/18 7:19
4306,375320,1,41.379569,-72.903495,2618147,1/2/18,7:59:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.01,15,15-S,15-S-122,,WHITNEY AVE,50,Feet,N,1,Clear,1,Daylight,5,Ice / Frost,9300,"Trafficway, On Road",1/2/18 7:59
3309,373393,1,41.3657,-72.924848,2616220,1/2/18,8:23:00,O,Property Damage Only,O,No Apparent Injury (O),1,State,50.05,15,15-N,15-N,,EXIT 60,50,Feet,N,1,Clear,1,Daylight,5,Ice / Frost,66000,"Trafficway, On Road",1/2/18 8:23
5094,388202,1,41.346033,-72.912399,2631024,1/2/18,8:49:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.94,707,WHITNEY AV,707-N,LAKE RD,,,,,1,Clear,1,Daylight,1,Dry,13500,"Trafficway, On Road",1/2/18 8:49
5092,379609,1,41.346034,-72.912465,2622434,1/2/18,8:57:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.94,707,WHITNEY AV,707-N,LAKE RD,,,,,2,Cloudy,1,Daylight,1,Dry,13500,"Trafficway, On Road",1/2/18 8:57
2034,375817,1,41.43863358,-72.90975114,2618644,1/2/18,10:52:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,12.75,10,CT-10,10-N,RIVER RD NO 1,,,,,1,Clear,1,Daylight,1,Dry,17600,"Trafficway, On Road",1/2/18 10:52
4308,389046,1,41.37811,-72.905315,2631868,1/3/18,7:23:00,O,Property Damage Only,O,No Apparent Injury (O),2,State,0.18,15,15-S,15-S-122,,Route 15 S,34,Feet,N,1,Clear,1,Daylight,1,Dry,9300,"Trafficway, On Road",1/3/18 7:23
